type,index,x,z
metal,1,3976.00,432.00
metal,2,3976.00,744.00
metal,3,1416.00,1000.00
metal,4,2872.00,1048.00
metal,5,8944.00,1112.00
metal,6,7024.00,1288.00
metal,7,6240.00,1392.00
metal,8,5848.00,1400.00
metal,9,7016.00,1512.00
metal,10,5872.00,2296.00
metal,11,6376.00,2312.00
metal,12,6960.00,2336.00
metal,13,1432.00,2392.00
metal,14,2848.00,2424.00
metal,15,8944.00,2440.00
metal,16,6984.00,3016.00
metal,17,5768.00,3192.00
metal,18,6208.00,3208.00
metal,19,6968.00,3384.00
metal,20,8992.00,3976.00
metal,21,1416.00,4104.00
metal,22,2848.00,4120.00
metal,23,3936.00,4136.00
metal,24,3944.00,4432.00
