MapSizeX,4096
MapSizeZ,4096
WaterLevel,0
x,z,height
0,0,262.97
8,0,262.95
16,0,262.92
24,0,262.88
32,0,262.83
40,0,262.79
48,0,262.74
56,0,262.70
64,0,262.65
72,0,262.60
80,0,262.54
88,0,262.50
96,0,262.45
104,0,262.42
112,0,262.44
120,0,262.48
128,0,262.57
136,0,262.70
144,0,262.79
152,0,262.86
160,0,262.92
168,0,262.97
176,0,263.02
184,0,263.05
192,0,263.08
200,0,263.11
208,0,263.17
216,0,263.20
224,0,263.24
232,0,263.29
240,0,263.32
248,0,263.35
256,0,263.38
264,0,263.41
272,0,263.46
280,0,263.52
288,0,263.58
296,0,263.67
304,0,263.79
312,0,263.95
320,0,264.13
328,0,264.39
336,0,264.77
344,0,265.29
352,0,265.87
360,0,266.37
368,0,267.87
376,0,269.87
384,0,273.74
392,0,270.31
400,0,249.88
408,0,221.42
416,0,202.51
424,0,206.15
432,0,195.92
440,0,169.85
448,0,160.72
456,0,157.15
464,0,161.18
472,0,162.23
480,0,161.48
488,0,161.44
496,0,161.65
504,0,162.35
512,0,163.65
520,0,164.58
528,0,163.71
536,0,162.98
544,0,162.77
552,0,162.92
560,0,163.09
568,0,163.25
576,0,163.47
584,0,163.60
592,0,163.70
600,0,163.77
608,0,163.83
616,0,163.89
624,0,163.94
632,0,163.97
640,0,163.99
648,0,164.00
656,0,164.00
664,0,163.99
672,0,163.99
680,0,163.97
688,0,163.97
696,0,163.96
704,0,163.94
712,0,163.93
720,0,163.91
728,0,163.89
736,0,163.88
744,0,163.86
752,0,163.85
760,0,163.83
768,0,163.82
776,0,163.80
784,0,163.80
792,0,163.79
800,0,163.79
808,0,163.79
816,0,163.80
824,0,163.82
832,0,163.83
840,0,163.85
848,0,163.86
856,0,163.88
864,0,163.88
872,0,163.89
880,0,163.89
888,0,163.89
896,0,163.91
904,0,163.94
912,0,163.97
920,0,164.00
928,0,164.02
936,0,164.03
944,0,164.05
952,0,164.05
960,0,164.02
968,0,164.00
976,0,163.97
984,0,163.93
992,0,163.89
1000,0,163.86
1008,0,163.83
1016,0,163.82
1024,0,163.80
1032,0,163.80
1040,0,163.80
1048,0,163.82
1056,0,163.85
1064,0,163.88
1072,0,163.91
1080,0,163.94
1088,0,163.97
1096,0,163.99
1104,0,164.00
1112,0,164.00
1120,0,164.00
1128,0,163.99
1136,0,163.97
1144,0,163.94
1152,0,163.93
1160,0,163.91
1168,0,163.88
1176,0,163.86
1184,0,163.85
1192,0,163.83
1200,0,163.83
1208,0,163.83
1216,0,163.82
1224,0,163.82
1232,0,163.80
1240,0,163.77
1248,0,163.76
1256,0,163.71
1264,0,163.68
1272,0,163.64
1280,0,163.59
1288,0,163.53
1296,0,163.47
1304,0,163.41
1312,0,163.44
1320,0,163.76
1328,0,163.93
1336,0,163.54
1344,0,163.68
1352,0,169.48
1360,0,185.41
1368,0,212.98
1376,0,237.20
1384,0,250.23
1392,0,264.80
1400,0,268.26
1408,0,269.36
1416,0,267.46
1424,0,266.92
1432,0,265.47
1440,0,264.48
1448,0,264.08
1456,0,264.02
1464,0,264.16
1472,0,264.24
1480,0,264.13
1488,0,263.90
1496,0,263.66
1504,0,263.47
1512,0,263.34
1520,0,263.24
1528,0,263.17
1536,0,263.12
1544,0,263.08
1552,0,263.05
1560,0,263.03
1568,0,263.03
1576,0,263.05
1584,0,263.08
1592,0,263.11
1600,0,263.14
1608,0,263.17
1616,0,263.21
1624,0,263.23
1632,0,263.24
1640,0,263.24
1648,0,263.21
1656,0,263.18
1664,0,263.12
1672,0,263.08
1680,0,263.02
1688,0,262.95
1696,0,262.92
1704,0,262.89
1712,0,262.91
1720,0,262.92
1728,0,262.97
1736,0,263.03
1744,0,263.09
1752,0,263.14
1760,0,263.20
1768,0,263.24
1776,0,263.29
1784,0,263.32
1792,0,263.35
1800,0,263.38
1808,0,263.41
1816,0,263.43
1824,0,263.44
1832,0,263.44
1840,0,263.44
1848,0,263.44
1856,0,263.43
1864,0,263.40
1872,0,263.37
1880,0,263.34
1888,0,263.29
1896,0,263.23
1904,0,263.18
1912,0,263.12
1920,0,263.08
1928,0,263.03
1936,0,263.00
1944,0,262.99
1952,0,262.99
1960,0,262.99
1968,0,263.02
1976,0,263.03
1984,0,263.08
1992,0,263.11
2000,0,263.15
2008,0,263.21
2016,0,263.26
2024,0,263.31
2032,0,263.35
2040,0,263.38
2048,0,263.41
2056,0,263.43
2064,0,263.43
2072,0,263.43
2080,0,263.41
2088,0,263.38
2096,0,263.35
2104,0,263.32
2112,0,263.28
2120,0,263.23
2128,0,263.18
2136,0,263.14
2144,0,263.09
2152,0,263.06
2160,0,263.02
2168,0,263.00
2176,0,262.97
2184,0,262.97
2192,0,262.95
2200,0,262.95
2208,0,262.97
2216,0,262.99
2224,0,263.00
2232,0,263.02
2240,0,263.03
2248,0,263.05
2256,0,263.06
2264,0,263.08
2272,0,263.08
2280,0,263.06
2288,0,263.05
2296,0,263.03
2304,0,263.00
2312,0,262.99
2320,0,262.97
2328,0,262.95
2336,0,262.94
2344,0,262.94
2352,0,262.94
2360,0,262.97
2368,0,262.99
2376,0,263.00
2384,0,263.03
2392,0,263.06
2400,0,263.09
