type,index,x,z
metal,1,2000.00,112.00
metal,2,2384.00,136.00
metal,3,80.00,152.00
metal,4,3088.00,152.00
metal,5,1776.00,176.00
metal,6,3936.00,184.00
metal,7,928.00,272.00
metal,8,3536.00,768.00
metal,9,560.00,864.00
metal,10,3728.00,912.00
metal,11,368.00,960.00
metal,12,1520.00,1568.00
metal,13,368.00,1792.00
metal,14,3808.00,1856.00
metal,15,576.00,1920.00
metal,16,352.00,2016.00
metal,17,3648.00,2048.00
metal,18,3872.00,2144.00
metal,19,2400.00,2384.00
metal,20,352.00,3008.00
metal,21,3728.00,3088.00
metal,22,576.00,3136.00
metal,23,3552.00,3296.00
metal,24,3232.00,3976.00
metal,25,3960.00,3984.00
metal,26,112.00,3992.00
metal,27,880.00,4008.00
metal,28,1584.00,4008.00
metal,29,2352.00,4024.00
metal,30,1920.00,4048.00
geo,1,2304.00,1776.00
geo,2,1760.00,2128.00
