MapSizeX,3072
MapSizeZ,4096
WaterLevel,0
x,z,height
0,0,245.09
8,0,245.09
16,0,245.09
24,0,245.09
32,0,245.09
40,0,245.09
48,0,245.09
56,0,245.09
64,0,245.09
72,0,245.09
80,0,245.09
88,0,245.09
96,0,245.09
104,0,245.13
112,0,245.09
120,0,245.09
128,0,245.09
136,0,245.09
144,0,245.09
152,0,245.09
160,0,245.09
168,0,245.09
176,0,245.09
184,0,245.09
192,0,245.09
200,0,245.09
208,0,245.09
216,0,245.09
224,0,245.09
232,0,245.09
240,0,245.09
248,0,245.09
256,0,245.09
264,0,245.09
272,0,245.09
280,0,245.09
288,0,245.09
296,0,245.09
304,0,245.09
312,0,245.09
320,0,245.09
328,0,245.09
336,0,245.09
344,0,245.09
352,0,245.09
360,0,245.09
368,0,245.09
376,0,245.09
384,0,245.09
392,0,245.09
400,0,245.09
408,0,245.09
416,0,245.09
424,0,245.09
432,0,245.09
440,0,245.09
448,0,245.09
456,0,245.09
464,0,245.09
472,0,245.09
480,0,245.09
488,0,245.09
496,0,245.09
504,0,245.09
512,0,245.09
520,0,245.09
528,0,245.09
536,0,245.09
544,0,245.09
552,0,245.09
560,0,245.09
568,0,245.09
576,0,245.09
584,0,245.09
592,0,245.09
600,0,245.09
608,0,245.13
616,0,245.09
624,0,245.09
632,0,245.09
640,0,245.09
648,0,245.09
656,0,245.09
664,0,245.09
672,0,245.09
680,0,245.09
688,0,245.09
696,0,245.09
704,0,245.09
712,0,245.09
720,0,245.09
728,0,245.09
736,0,245.09
744,0,245.09
752,0,245.09
760,0,245.09
768,0,245.09
776,0,245.09
784,0,245.09
792,0,245.09
800,0,245.09
808,0,245.09
816,0,245.09
824,0,245.09
832,0,245.09
840,0,245.09
848,0,245.09
856,0,245.09
864,0,245.09
872,0,245.09
880,0,245.09
888,0,245.09
896,0,245.09
904,0,245.09
912,0,245.09
920,0,245.09
928,0,245.09
936,0,245.09
944,0,245.09
952,0,245.09
960,0,245.09
968,0,245.09
976,0,245.09
984,0,245.09
992,0,245.09
1000,0,245.09
1008,0,245.09
1016,0,245.09
1024,0,245.09
1032,0,245.09
1040,0,245.09
1048,0,245.09
1056,0,245.09
1064,0,245.09
1072,0,245.09
1080,0,245.09
1088,0,245.09
1096,0,245.13
1104,0,245.13
1112,0,245.13
1120,0,245.13
1128,0,245.13
1136,0,245.13
1144,0,245.17
1152,0,245.17
1160,0,245.17
1168,0,245.21
1176,0,245.25
1184,0,245.34
1192,0,245.38
1200,0,245.50
1208,0,245.58
1216,0,245.67
1224,0,245.75
1232,0,245.83
1240,0,245.87
1248,0,245.95
1256,0,245.95
1264,0,245.99
1272,0,246.03
1280,0,246.07
1288,0,246.07
1296,0,246.11
1304,0,246.16
1312,0,246.16
1320,0,246.20
1328,0,246.20
1336,0,246.20
1344,0,246.24
1352,0,246.24
1360,0,246.24
1368,0,246.24
1376,0,246.24
1384,0,246.24
1392,0,246.24
1400,0,246.20
1408,0,246.20
1416,0,246.20
1424,0,246.20
1432,0,246.16
1440,0,246.16
1448,0,246.11
1456,0,246.11
1464,0,246.07
1472,0,246.07
1480,0,246.03
1488,0,246.03
1496,0,245.99
1504,0,245.99
1512,0,245.99
1520,0,245.95
1528,0,245.95
1536,0,245.91
1544,0,245.91
1552,0,245.87
1560,0,245.83
1568,0,245.79
1576,0,245.67
1584,0,245.54
1592,0,245.46
