type,index,x,z
metal,1,600.00,128.00
metal,2,2448.00,160.00
metal,3,176.00,208.00
metal,4,416.00,392.00
metal,5,2832.00,384.00
metal,6,2520.00,464.00
metal,7,1856.00,664.00
metal,8,1088.00,696.00
metal,9,2272.00,992.00
metal,10,672.00,1360.00
metal,11,1552.00,1504.00
metal,12,1552.00,2544.00
metal,13,2432.00,2656.00
metal,14,840.00,3088.00
metal,15,2024.00,3336.00
metal,16,1104.00,3408.00
metal,17,608.00,3632.00
metal,18,2592.00,3624.00
metal,19,304.00,3712.00
metal,20,2848.00,3792.00
metal,21,2416.00,3888.00
metal,22,688.00,3920.00
